time,wx (rad/s),wy (rad/s),wz (rad/s)
5.590351,-0.54,-0.80,-0.07
5.600843,-0.60,-0.75,-0.06
5.610976,-0.69,-0.69,-0.04
5.621311,-0.80,-0.64,-0.02
5.632123,-0.91,-0.58,0.00
5.641479,-1.01,-0.54,0.03
5.652252,-1.09,-0.49,0.05
5.662120,-1.14,-0.45,0.08
5.672388,-1.17,-0.40,0.10
5.683249,-1.17,-0.29,0.12
5.693082,-1.11,-0.05,0.13
5.703121,-0.97,0.32,0.15
5.712945,-0.81,0.72,0.17
5.723056,-0.68,1.02,0.19
5.734258,-0.59,1.20,0.21
5.744330,-0.54,1.31,0.22
5.754360,-0.51,1.39,0.23
5.764868,-0.48,1.46,0.24
5.775235,-0.45,1.52,0.25
5.785942,-0.38,1.58,0.26
5.795919,-0.31,1.63,0.27
5.805798,-0.23,1.66,0.27
5.816376,-0.17,1.69,0.27
5.826487,-0.12,1.71,0.27
5.836809,-0.07,1.72,0.27
5.847166,-0.01,1.72,0.27
5.856423,0.05,1.71,0.27
5.867608,0.10,1.69,0.27
5.877576,0.14,1.67,0.27
5.888134,0.18,1.63,0.26
5.898523,0.20,1.57,0.26
5.907858,0.22,1.49,0.25
5.918390,0.22,1.41,0.25
5.929400,0.21,1.31,0.24
5.939251,0.19,1.21,0.24
5.954227,0.15,1.10,0.23
5.959827,0.10,0.96,0.22
5.969907,0.03,0.81,0.22
5.980370,-0.07,0.64,0.22
5.990741,-0.16,0.47,0.23
6.000302,-0.23,0.34,0.24
6.011245,-0.26,0.25,0.24
6.021007,-0.26,0.18,0.23
6.032873,-0.26,0.10,0.22
6.041677,-0.28,-0.02,0.20
6.052259,-0.35,-0.21,0.16
6.063355,-0.45,-0.42,0.12
6.072785,-0.50,-0.55,0.08
6.086842,-0.47,-0.56,0.06
6.093272,-0.38,-0.51,0.05
6.103110,-0.29,-0.49,0.03
6.113468,-0.25,-0.56,-0.00
6.123888,-0.25,-0.73,-0.04
6.133743,-0.27,-0.92,-0.08
6.143627,-0.23,-1.00,-0.12
6.154589,-0.10,-0.88,-0.15
6.165710,0.08,-0.62,-0.17
6.174623,0.23,-0.36,-0.19
6.185137,0.31,-0.18,-0.21
6.196095,0.33,-0.07,-0.23
6.205895,0.33,0.01,-0.25
6.219895,0.31,0.08,-0.26
6.226548,0.30,0.10,-0.28
6.236374,0.29,0.08,-0.28
6.247004,0.27,0.00,-0.29
6.256546,0.25,-0.08,-0.30
6.268061,0.22,-0.17,-0.30
6.277440,0.16,-0.32,-0.30
6.287987,0.05,-0.54,-0.31
6.298452,-0.09,-0.79,-0.33
6.308590,-0.20,-0.94,-0.34
6.318843,-0.24,-0.91,-0.34
6.329179,-0.19,-0.73,-0.34
6.339080,-0.11,-0.48,-0.34
6.349002,-0.01,-0.26,-0.34
6.359992,0.07,-0.10,-0.34
6.369843,0.14,-0.00,-0.35
6.380690,0.20,0.07,-0.36
6.391068,0.25,0.12,-0.37
6.400626,0.29,0.16,-0.37
6.410739,0.31,0.19,-0.38
6.420937,0.32,0.21,-0.38
6.431742,0.32,0.21,-0.37
6.441107,0.31,0.21,-0.37
6.452203,0.29,0.20,-0.36
6.464345,0.28,0.18,-0.36
